customer_code,month,week_of_month,total_sales
customer_code_1015,6,4,36
customer_code_1015,7,1,16
customer_code_1016,1,1,36
customer_code_1016,2,3,53
customer_code_1016,3,3,38
customer_code_1016,4,1,57
customer_code_1016,5,2,52
customer_code_1016,6,2,72
customer_code_1016,7,1,65
customer_code_1017,1,1,54
customer_code_1017,2,4,63
customer_code_1017,3,3,65
customer_code_1017,4,4,54
customer_code_1017,5,2,67
customer_code_1017,6,4,162
customer_code_1017,7,1,118
customer_code_1018,1,1,44
customer_code_1018,2,1,54
customer_code_1018,3,3,40
customer_code_1018,4,4,35
customer_code_1018,5,2,46
customer_code_1018,6,4,60
customer_code_1018,7,1,26
customer_code_1019,1,1,44
customer_code_1019,2,1,51
customer_code_1019,3,3,38
customer_code_1019,4,2,32
customer_code_1019,5,2,54
customer_code_1019,6,1,47
customer_code_1019,7,1,69
customer_code_102,1,1,55
customer_code_102,2,4,48
customer_code_102,3,1,56
customer_code_102,4,3,54
customer_code_102,5,2,81
customer_code_102,6,1,113
customer_code_102,7,1,94
customer_code_1020,1,1,103
customer_code_1020,2,3,155
customer_code_1020,3,3,98
customer_code_1020,4,2,126
customer_code_1020,5,2,150
customer_code_1020,6,3,259
customer_code_1020,7,1,194
customer_code_1021,1,1,37
customer_code_1021,2,3,28
customer_code_1021,3,3,32
customer_code_1021,4,3,23
customer_code_1021,5,2,40
customer_code_1021,6,4,26
customer_code_1021,7,1,32
customer_code_1022,1,1,37
customer_code_1022,2,3,31
customer_code_1022,3,3,41
customer_code_1022,4,3,31
customer_code_1022,5,2,50
customer_code_1022,6,4,41
customer_code_1022,7,1,27
customer_code_1023,1,1,37
customer_code_1023,2,1,33
customer_code_1023,3,3,36
customer_code_1023,4,3,31
customer_code_1023,5,2,45
customer_code_1023,6,4,51
customer_code_1023,7,1,19
customer_code_1024,1,1,43
customer_code_1024,2,4,61
customer_code_1024,3,3,53
customer_code_1024,4,3,74
customer_code_1024,5,2,87
customer_code_1024,6,2,81
customer_code_1024,7,1,157
customer_code_1025,1,1,50
customer_code_1025,2,3,61
customer_code_1025,3,3,56
customer_code_1025,4,1,62
customer_code_1025,5,2,97
customer_code_1025,6,4,162
customer_code_1025,7,1,92
customer_code_1026,1,1,63
customer_code_1026,2,3,59
customer_code_1026,3,3,97
customer_code_1026,4,3,38
customer_code_1026,5,2,104
customer_code_1026,6,4,168
customer_code_1026,7,1,104
customer_code_1027,1,1,73
customer_code_1027,2,1,75
customer_code_1027,3,2,58
customer_code_1027,4,4,85
customer_code_1027,5,4,105
customer_code_1027,6,3,143
customer_code_1027,7,1,93
customer_code_1028,1,1,82
customer_code_1028,2,3,91
customer_code_1028,3,4,80
customer_code_1028,4,3,101
customer_code_1028,5,2,114
customer_code_1028,6,4,127
customer_code_1028,7,1,128
customer_code_1029,1,1,32
customer_code_1029,2,1,26
customer_code_1029,3,3,34
customer_code_1029,4,3,22
customer_code_1029,5,2,39
customer_code_1029,6,2,28
customer_code_1029,7,1,17
customer_code_103,1,1,85
customer_code_103,2,1,68
customer_code_103,3,1,74
customer_code_103,4,3,107
customer_code_103,5,4,118
customer_code_103,6,4,152
customer_code_103,7,1,172
customer_code_1030,1,1,37
customer_code_1030,2,1,32
customer_code_1030,3,3,35
customer_code_1030,4,3,22
customer_code_1030,5,2,36
customer_code_1030,6,4,26
customer_code_1030,7,1,27
customer_code_1031,1,1,33
customer_code_1031,2,3,27
customer_code_1031,3,3,30
customer_code_1031,4,3,24
customer_code_1031,5,2,36
customer_code_1031,6,2,25
customer_code_1031,7,1,13
customer_code_1032,1,1,33
customer_code_1032,2,3,26
customer_code_1032,3,3,33
customer_code_1032,4,3,18
customer_code_1032,5,2,39
customer_code_1032,6,3,26
customer_code_1032,7,1,19
customer_code_1033,1,1,32
customer_code_1033,2,1,28
customer_code_1033,3,3,33
customer_code_1033,4,3,24
customer_code_1033,5,2,37
customer_code_1033,6,4,29
customer_code_1033,7,1,23
customer_code_1034,1,1,33
customer_code_1034,2,3,25
customer_code_1034,3,3,28
customer_code_1034,4,3,23
customer_code_1034,5,2,42
customer_code_1034,6,4,30
customer_code_1034,7,1,27
customer_code_1035,1,1,36
customer_code_1035,2,4,44
customer_code_1035,3,3,43
customer_code_1035,4,2,37
customer_code_1035,5,5,69
customer_code_1035,6,4,79
customer_code_1035,7,1,116
customer_code_1036,1,1,40
customer_code_1036,2,1,55
customer_code_1036,3,3,66
customer_code_1036,4,2,35
customer_code_1036,5,2,70
customer_code_1036,6,3,51
customer_code_1036,7,1,105
customer_code_1037,1,1,55
customer_code_1037,2,3,43
customer_code_1037,3,3,66
customer_code_1037,4,2,43
customer_code_1037,5,4,63
customer_code_1037,6,4,49
customer_code_1037,7,1,52
customer_code_1038,1,1,50
customer_code_1038,2,3,54
customer_code_1038,3,1,33
customer_code_1038,4,3,50
customer_code_1038,5,2,74
customer_code_1038,6,4,114
customer_code_1038,7,1,93
customer_code_1039,1,1,39
customer_code_1039,2,3,55
customer_code_1039,3,3,45
customer_code_1039,4,1,33
customer_code_1039,5,2,49
customer_code_1039,6,3,80
customer_code_1039,7,1,36
customer_code_104,1,1,37
customer_code_104,2,1,26
customer_code_104,3,3,34
customer_code_104,4,3,22
customer_code_104,5,2,36
customer_code_104,6,3,30
customer_code_104,7,1,20
customer_code_1040,1,1,59
customer_code_1040,2,4,40
customer_code_1040,3,3,55
customer_code_1040,4,1,45
customer_code_1040,5,2,67
customer_code_1040,6,1,101
customer_code_1040,7,1,47
customer_code_1041,1,1,36
customer_code_1041,2,1,59
customer_code_1041,3,4,41
customer_code_1041,4,2,54
customer_code_1041,5,4,65
customer_code_1041,6,4,79
customer_code_1041,7,1,59
customer_code_1042,1,1,47
customer_code_1042,2,3,50
customer_code_1042,3,3,42
customer_code_1042,4,4,30
customer_code_1042,5,2,42
customer_code_1042,6,3,94
customer_code_1042,7,1,54
customer_code_1043,1,1,61
customer_code_1043,2,3,61
customer_code_1043,3,2,72
customer_code_1043,4,3,62
customer_code_1043,5,4,88
customer_code_1043,6,4,140
customer_code_1043,7,1,100
customer_code_1044,1,1,46
customer_code_1044,2,1,41
customer_code_1044,3,3,33
customer_code_1044,4,4,40
customer_code_1044,5,2,56
customer_code_1044,6,1,60
customer_code_1044,7,1,48
customer_code_1045,1,1,102
customer_code_1045,2,3,93
customer_code_1045,3,3,121
customer_code_1045,4,4,103
customer_code_1045,5,2,156
customer_code_1045,6,2,237
customer_code_1045,7,1,162
customer_code_1046,1,1,102
customer_code_1046,2,4,112
customer_code_1046,3,3,116
customer_code_1046,4,4,125
customer_code_1046,5,2,145
customer_code_1046,6,3,262
customer_code_1046,7,1,155
customer_code_1047,1,1,36
customer_code_1047,2,3,35
customer_code_1047,3,3,33
customer_code_1047,4,3,25
customer_code_1047,5,2,41
customer_code_1047,6,2,28
customer_code_1047,7,1,39
customer_code_1048,1,1,37
customer_code_1048,2,3,27
customer_code_1048,3,3,35
customer_code_1048,4,3,25
customer_code_1048,5,2,46
customer_code_1048,6,3,49
customer_code_1048,7,1,29
customer_code_1049,1,1,37
customer_code_1049,2,1,25
customer_code_1049,3,3,31
customer_code_1049,4,4,25
customer_code_1049,5,2,47
customer_code_1049,6,1,27
customer_code_1049,7,2,21
customer_code_105,1,1,33
customer_code_105,2,3,34
customer_code_105,3,3,33
customer_code_105,4,4,25
customer_code_105,5,2,42
customer_code_105,6,2,28
customer_code_105,7,1,18
customer_code_1050,1,2,45
customer_code_1050,2,3,42
customer_code_1050,3,3,66
customer_code_1050,4,4,77
customer_code_1050,5,2,91
customer_code_1050,6,2,109
customer_code_1050,7,1,109
customer_code_1051,1,1,48
customer_code_1051,2,4,73
customer_code_1051,3,3,85
customer_code_1051,4,4,42
customer_code_1051,5,4,79
customer_code_1051,6,4,92
customer_code_1051,7,1,54
customer_code_1052,1,1,61
customer_code_1052,2,1,61
customer_code_1052,3,3,89
customer_code_1052,4,4,67
customer_code_1052,5,5,83
customer_code_1052,6,3,122
customer_code_1052,7,1,78
customer_code_1053,1,1,69
customer_code_1053,2,4,58
customer_code_1053,3,3,85
customer_code_1053,4,4,73
customer_code_1053,5,2,79
customer_code_1053,6,4,110
customer_code_1053,7,1,91
customer_code_1054,1,1,31
customer_code_1054,2,3,24
customer_code_1054,3,3,29
customer_code_1054,4,3,21
customer_code_1054,5,2,42
customer_code_1054,6,4,28
customer_code_1054,7,1,25
customer_code_1055,1,1,33
customer_code_1055,2,3,27
customer_code_1055,3,3,33
customer_code_1055,4,3,23
customer_code_1055,5,2,43
customer_code_1055,6,4,29
customer_code_1055,7,1,20
customer_code_1056,1,1,33
customer_code_1056,2,1,23
customer_code_1056,3,3,30
customer_code_1056,4,3,21
customer_code_1056,5,2,42
customer_code_1056,6,3,30
customer_code_1056,7,1,42
customer_code_1057,1,1,50
customer_code_1057,2,1,50
customer_code_1057,3,3,63
customer_code_1057,4,4,44
customer_code_1057,5,2,79
customer_code_1057,6,2,59
customer_code_1057,7,1,52
customer_code_1058,1,1,49
customer_code_1058,2,1,37
customer_code_1058,3,2,43
customer_code_1058,4,4,47
customer_code_1058,5,1,64
customer_code_1058,6,4,53
customer_code_1058,7,1,94
customer_code_1059,1,1,53
customer_code_1059,2,1,79
customer_code_1059,3,3,59
customer_code_1059,4,4,46
customer_code_1059,5,5,77
customer_code_1059,6,2,58
customer_code_1059,7,1,41
customer_code_106,1,1,41
customer_code_106,2,2,36
customer_code_106,3,3,46
customer_code_106,4,3,31
customer_code_106,5,2,65
customer_code_106,6,4,96
customer_code_106,7,1,23
customer_code_1060,1,1,48
customer_code_1060,2,3,57
customer_code_1060,3,1,33
customer_code_1060,4,4,70
customer_code_1060,5,1,59
customer_code_1060,6,4,74
customer_code_1060,7,1,50
customer_code_1061,1,1,32
customer_code_1061,2,3,24
customer_code_1061,3,3,28
customer_code_1061,4,3,16
customer_code_1061,5,2,35
customer_code_1061,6,4,18
customer_code_1061,7,1,15
customer_code_1062,1,1,50
customer_code_1062,2,2,34
customer_code_1062,3,3,46
customer_code_1062,4,4,45
customer_code_1062,5,5,49
customer_code_1062,6,3,52
customer_code_1062,7,1,27
customer_code_1063,1,1,43
customer_code_1063,2,1,35
customer_code_1063,3,3,47
customer_code_1063,4,3,34
customer_code_1063,5,2,53
customer_code_1063,6,4,63
customer_code_1063,7,1,36
customer_code_1064,1,1,103
customer_code_1064,2,1,118
customer_code_1064,3,3,110
customer_code_1064,4,1,115
customer_code_1064,5,2,117
customer_code_1064,6,3,266
customer_code_1064,7,1,151
customer_code_1065,1,4,46
customer_code_1065,2,1,58
customer_code_1065,3,1,71
customer_code_1065,4,3,62
customer_code_1065,5,2,93
customer_code_1065,6,4,114
customer_code_1065,7,1,48
customer_code_1066,1,1,61
customer_code_1066,2,3,65
customer_code_1066,3,2,46
customer_code_1066,4,3,49
customer_code_1066,5,2,88
customer_code_1066,6,2,137
customer_code_1066,7,1,146
customer_code_1067,1,1,50
customer_code_1067,2,3,61
customer_code_1067,3,1,55
customer_code_1067,4,3,87
customer_code_1067,5,3,69
customer_code_1067,6,4,104
customer_code_1067,7,1,107
customer_code_1068,1,1,50
customer_code_1068,2,3,62
customer_code_1068,3,3,69
customer_code_1068,4,4,65
customer_code_1068,5,2,77
customer_code_1068,6,4,184
customer_code_1068,7,1,73
customer_code_1069,1,1,44
customer_code_1069,2,4,73
customer_code_1069,3,3,74
customer_code_1069,4,4,65
customer_code_1069,5,2,78
customer_code_1069,6,1,101
customer_code_1069,7,1,36
customer_code_107,1,1,50
customer_code_107,2,3,44
customer_code_107,3,3,54
customer_code_107,4,1,44
customer_code_107,5,2,64
customer_code_107,6,2,96
customer_code_107,7,1,33
customer_code_1070,1,1,69
customer_code_1070,2,3,48
customer_code_1070,3,1,97
customer_code_1070,4,4,52
customer_code_1070,5,2,107
customer_code_1070,6,4,156
customer_code_1070,7,1,46
customer_code_1071,1,1,31
customer_code_1071,2,3,22
customer_code_1071,3,3,32
customer_code_1071,4,3,20
customer_code_1071,5,2,42
customer_code_1071,6,3,25
customer_code_1071,7,1,26
customer_code_1072,1,1,37
customer_code_1072,2,3,25
customer_code_1072,3,3,33
customer_code_1072,4,3,25
customer_code_1072,5,2,40
customer_code_1072,6,4,31
customer_code_1072,7,1,25
customer_code_1073,1,1,47
customer_code_1073,2,1,41
customer_code_1073,3,3,39
customer_code_1073,4,4,32
customer_code_1073,5,2,68
customer_code_1073,6,3,126
customer_code_1073,7,2,33
customer_code_1074,1,1,38
customer_code_1074,2,4,34
customer_code_1074,3,3,54
customer_code_1074,4,4,54
customer_code_1074,5,2,68
customer_code_1074,6,3,75
customer_code_1074,7,1,89
customer_code_1075,1,1,57
customer_code_1075,2,4,50
customer_code_1075,3,2,45
customer_code_1075,4,4,41
customer_code_1075,5,2,74
customer_code_1075,6,1,92
customer_code_1075,7,1,102
customer_code_1076,1,1,57
customer_code_1076,2,1,46
customer_code_1076,3,1,30
customer_code_1076,4,1,36
customer_code_1076,5,2,69
customer_code_1076,6,2,78
customer_code_1076,7,1,60
customer_code_1077,1,1,48
customer_code_1077,2,3,36
customer_code_1077,3,3,47
customer_code_1077,4,3,56
customer_code_1077,5,4,54
customer_code_1077,6,1,103
customer_code_1077,7,2,46
customer_code_1078,1,1,59
customer_code_1078,2,1,49
customer_code_1078,3,1,47
customer_code_1078,4,3,42
customer_code_1078,5,4,68
customer_code_1078,6,1,61
customer_code_1078,7,1,109
customer_code_1079,1,1,57
customer_code_1079,2,3,80
customer_code_1079,3,3,67
customer_code_1079,4,4,76
customer_code_1079,5,1,84
customer_code_1079,6,4,121
customer_code_1079,7,1,116
customer_code_108,1,1,53
customer_code_108,2,2,44
customer_code_108,3,3,46
customer_code_108,4,4,35
customer_code_108,5,2,57
customer_code_108,6,3,104
customer_code_108,7,1,90
customer_code_1080,1,1,31
customer_code_1080,2,3,25
customer_code_1080,3,3,30
customer_code_1080,4,4,19
customer_code_1080,5,2,36
customer_code_1080,6,4,16
customer_code_1080,7,1,31
customer_code_1081,1,1,31
customer_code_1081,2,1,23
customer_code_1081,3,3,29
customer_code_1081,4,3,15
customer_code_1081,5,2,34
customer_code_1081,6,2,19
customer_code_1081,7,1,19
customer_code_1082,1,1,31
customer_code_1082,2,3,24
customer_code_1082,3,3,33
customer_code_1082,4,3,17
customer_code_1082,5,2,34
customer_code_1082,6,4,24
customer_code_1082,7,1,12
customer_code_1083,1,1,40
customer_code_1083,2,3,37
customer_code_1083,3,3,36
customer_code_1083,4,3,44
customer_code_1083,5,2,43
customer_code_1083,6,2,64
customer_code_1083,7,2,47
customer_code_1084,1,1,36
customer_code_1084,2,1,35
customer_code_1084,3,3,45
customer_code_1084,4,4,47
customer_code_1084,5,2,55
customer_code_1084,6,4,63
customer_code_1084,7,2,46
customer_code_1085,1,1,79
customer_code_1085,2,1,110
customer_code_1085,3,4,145
customer_code_1085,4,3,89
customer_code_1085,5,2,152
customer_code_1085,6,5,172
customer_code_1085,7,2,120
customer_code_1086,1,1,38
customer_code_1086,2,3,32
customer_code_1086,3,3,35
customer_code_1086,4,4,30
customer_code_1086,5,2,46
customer_code_1086,6,3,40
customer_code_1086,7,1,23
customer_code_1087,1,1,37
customer_code_1087,2,1,24
customer_code_1087,3,3,36
customer_code_1087,4,3,28
customer_code_1087,5,2,41
customer_code_1087,6,3,43
customer_code_1087,7,1,34
customer_code_1088,1,1,35
customer_code_1088,2,3,31
customer_code_1088,3,3,41
customer_code_1088,4,3,28
customer_code_1088,5,2,48
customer_code_1088,6,2,32
customer_code_1088,7,1,28
customer_code_1089,1,1,37
customer_code_1089,2,1,33
customer_code_1089,3,3,34
customer_code_1089,4,3,25
customer_code_1089,5,2,42
customer_code_1089,6,2,48
customer_code_1089,7,1,26
customer_code_109,1,1,55
customer_code_109,2,3,49
customer_code_109,3,3,50
customer_code_109,4,1,49
customer_code_109,5,1,61
customer_code_109,6,4,64
customer_code_109,7,1,116
customer_code_1090,1,1,52
customer_code_1090,2,1,63
customer_code_1090,3,3,70
customer_code_1090,4,3,80
customer_code_1090,5,4,73
customer_code_1090,6,1,135
customer_code_1090,7,1,95
customer_code_1091,1,1,52
customer_code_1091,2,1,52
customer_code_1091,3,4,54
customer_code_1091,4,3,73
customer_code_1091,5,2,106
customer_code_1091,6,1,122
customer_code_1091,7,1,73
customer_code_1092,1,1,58
customer_code_1092,2,1,65
customer_code_1092,3,2,38
customer_code_1092,4,4,66
customer_code_1092,5,2,96
customer_code_1092,6,1,77
customer_code_1092,7,1,100
customer_code_1093,1,1,55
customer_code_1093,2,1,60
customer_code_1093,3,3,62
customer_code_1093,4,3,57
customer_code_1093,5,2,100
customer_code_1093,6,4,98
customer_code_1093,7,1,134
customer_code_1094,1,1,45
customer_code_1094,2,3,57
customer_code_1094,3,3,55
customer_code_1094,4,3,78
customer_code_1094,5,2,96
customer_code_1094,6,1,115
customer_code_1094,7,1,175
customer_code_1095,1,1,33
customer_code_1095,2,3,25
customer_code_1095,3,3,39
customer_code_1095,4,3,24
customer_code_1095,5,2,40
customer_code_1095,6,2,35
customer_code_1095,7,1,16
customer_code_1096,1,1,35
customer_code_1096,2,1,24
customer_code_1096,3,3,33
customer_code_1096,4,3,27
customer_code_1096,5,2,40
customer_code_1096,6,4,34
customer_code_1096,7,1,22
customer_code_1097,1,1,43
customer_code_1097,2,3,38
customer_code_1097,3,3,49
customer_code_1097,4,3,37
customer_code_1097,5,1,58
customer_code_1097,6,4,107
customer_code_1097,7,1,99
customer_code_1098,1,1,41
customer_code_1098,2,1,31
customer_code_1098,3,1,55
customer_code_1098,4,3,44
customer_code_1098,5,2,67
customer_code_1098,6,4,59
customer_code_1098,7,1,49
customer_code_1099,1,1,56
customer_code_1099,2,1,43
customer_code_1099,3,3,48
customer_code_1099,4,3,30
customer_code_1099,5,2,47
customer_code_1099,6,4,125
customer_code_1099,7,2,44
customer_code_11,1,1,89
customer_code_11,2,3,71
customer_code_11,3,3,106
customer_code_11,4,2,112
customer_code_11,5,2,131
customer_code_11,6,2,197
customer_code_11,7,1,135
customer_code_110,1,1,53
customer_code_110,2,3,46
customer_code_110,3,3,52
customer_code_110,4,2,40
customer_code_110,5,2,78
customer_code_110,6,3,58
customer_code_110,7,1,38
customer_code_1100,1,1,41
customer_code_1100,2,4,48
customer_code_1100,3,3,60
customer_code_1100,4,4,44
customer_code_1100,5,2,71
customer_code_1100,6,4,85
customer_code_1100,7,1,42
customer_code_1101,1,1,49
customer_code_1101,2,1,54
customer_code_1101,3,3,65
customer_code_1101,4,3,53
customer_code_1101,5,2,73
customer_code_1101,6,3,60
customer_code_1101,7,1,82
customer_code_1102,1,1,38
customer_code_1102,2,1,56
customer_code_1102,3,3,54
customer_code_1102,4,2,38
customer_code_1102,5,4,65
customer_code_1102,6,4,94
customer_code_1102,7,2,41
customer_code_1103,1,1,58
customer_code_1103,2,3,62
customer_code_1103,3,3,50
customer_code_1103,4,2,44
customer_code_1103,5,2,75
customer_code_1103,6,4,56
customer_code_1103,7,1,113
customer_code_1104,1,1,41
customer_code_1104,2,4,37
customer_code_1104,3,3,50
customer_code_1104,4,3,36
customer_code_1104,5,2,57
customer_code_1104,6,4,90
customer_code_1104,7,1,79
customer_code_1105,1,1,35
customer_code_1105,2,1,52
customer_code_1105,3,3,44
customer_code_1105,4,3,53
customer_code_1105,5,4,51
customer_code_1105,6,2,88
customer_code_1105,7,1,40
customer_code_1106,1,1,57
customer_code_1106,2,1,45
customer_code_1106,3,3,50
customer_code_1106,4,4,50
customer_code_1106,5,4,70
customer_code_1106,6,4,81
customer_code_1106,7,1,31
customer_code_1107,1,1,38
customer_code_1107,2,3,35
customer_code_1107,3,3,45
customer_code_1107,4,4,36
customer_code_1107,5,2,40
customer_code_1107,6,3,44
customer_code_1107,7,1,67
customer_code_1108,1,1,36
customer_code_1108,2,3,36
customer_code_1108,3,3,36
customer_code_1108,4,3,30
customer_code_1108,5,2,51
customer_code_1108,6,4,82
customer_code_1108,7,1,44
customer_code_1109,1,1,39
customer_code_1109,2,1,29
customer_code_1109,3,3,40
customer_code_1109,4,3,31
customer_code_1109,5,2,47
customer_code_1109,6,4,38
customer_code_1109,7,1,29
customer_code_111,1,1,54
customer_code_111,2,1,53
customer_code_111,3,1,40
customer_code_111,4,4,54
customer_code_111,5,3,51
customer_code_111,6,4,132
customer_code_111,7,2,55
customer_code_1110,1,1,33
customer_code_1110,2,1,34
customer_code_1110,3,3,33
customer_code_1110,4,3,39
customer_code_1110,5,2,48
customer_code_1110,6,2,36
customer_code_1110,7,1,20
customer_code_1111,1,1,37
customer_code_1111,2,3,31
customer_code_1111,3,3,37
customer_code_1111,4,4,29
customer_code_1111,5,2,46
customer_code_1111,6,1,30
customer_code_1111,7,1,30
customer_code_1112,1,1,36
customer_code_1112,2,3,33
customer_code_1112,3,3,33
customer_code_1112,4,3,29
customer_code_1112,5,2,41
customer_code_1112,6,4,45
customer_code_1112,7,1,33
customer_code_1113,1,1,35
customer_code_1113,2,3,32
customer_code_1113,3,3,34
customer_code_1113,4,3,24
customer_code_1113,5,2,47
customer_code_1113,6,2,29
customer_code_1113,7,1,28
customer_code_1114,1,1,44
customer_code_1114,2,2,53
customer_code_1114,3,1,59
customer_code_1114,4,3,57
customer_code_1114,5,2,89
customer_code_1114,6,3,129
customer_code_1114,7,1,106
customer_code_1115,1,1,57
customer_code_1115,2,1,53
customer_code_1115,3,3,46
customer_code_1115,4,3,37
customer_code_1115,5,2,94
customer_code_1115,6,4,103
customer_code_1115,7,1,60
customer_code_1116,1,3,44
customer_code_1116,2,3,46
customer_code_1116,3,4,65
customer_code_1116,4,4,66
customer_code_1116,5,2,90
customer_code_1116,6,1,102
customer_code_1116,7,1,48
customer_code_1117,1,1,70
customer_code_1117,2,4,51
customer_code_1117,3,3,74
customer_code_1117,4,4,57
customer_code_1117,5,5,82
customer_code_1117,6,2,117
customer_code_1117,7,1,54
customer_code_1118,1,1,66
customer_code_1118,2,3,61
customer_code_1118,3,3,94
customer_code_1118,4,2,71
customer_code_1118,5,2,74
customer_code_1118,6,2,125
customer_code_1118,7,1,47
customer_code_1119,1,1,60
customer_code_1119,2,2,69
customer_code_1119,3,4,99
customer_code_1119,4,4,119
customer_code_1119,5,1,90
customer_code_1119,6,3,136
customer_code_1119,7,1,89
customer_code_112,1,1,43
customer_code_112,2,3,43
customer_code_112,3,3,36
customer_code_112,4,2,34
customer_code_112,5,2,49
customer_code_112,6,2,40
customer_code_112,7,1,57
customer_code_1120,1,1,62
customer_code_1120,2,1,79
customer_code_1120,3,2,97
customer_code_1120,4,3,92
customer_code_1120,5,2,111
customer_code_1120,6,4,135
customer_code_1120,7,1,195
customer_code_1121,1,1,31
customer_code_1121,2,3,32
customer_code_1121,3,3,37
customer_code_1121,4,3,24
customer_code_1121,5,2,40
customer_code_1121,6,4,28
customer_code_1121,7,1,23
customer_code_1122,1,1,31
customer_code_1122,2,3,30
customer_code_1122,3,3,32
customer_code_1122,4,3,17
customer_code_1122,5,2,40
customer_code_1122,6,2,31
customer_code_1122,7,1,27
customer_code_1123,1,1,31
customer_code_1123,2,1,24
customer_code_1123,3,3,30
customer_code_1123,4,3,22
customer_code_1123,5,2,36
customer_code_1123,6,3,28
customer_code_1123,7,1,33
customer_code_1124,1,1,50
customer_code_1124,2,1,55
customer_code_1124,3,3,49
customer_code_1124,4,4,55
customer_code_1124,5,1,61
customer_code_1124,6,4,76
customer_code_1124,7,1,56
customer_code_1125,1,1,57
customer_code_1125,2,3,35
customer_code_1125,3,3,47
customer_code_1125,4,3,42
customer_code_1125,5,2,71
customer_code_1125,6,4,73
customer_code_1125,7,1,38
customer_code_1126,1,1,46
customer_code_1126,2,3,59
customer_code_1126,3,3,54
customer_code_1126,4,4,52
customer_code_1126,5,1,57
customer_code_1126,6,4,111
customer_code_1126,7,1,49
customer_code_1127,1,1,43
customer_code_1127,2,2,58
customer_code_1127,3,3,60
customer_code_1127,4,4,38
