,customer_code,week_of_month,transaction_count,frequency_category
438,customer_code_1393,1,47,non-frequent
439,customer_code_1394,1,48,non-frequent
440,customer_code_1395,1,40,non-frequent
441,customer_code_1396,1,52,frequent
442,customer_code_1397,1,42,non-frequent
443,customer_code_1398,1,42,non-frequent
444,customer_code_1399,1,45,non-frequent
445,customer_code_14,1,43,non-frequent
446,customer_code_140,1,37,non-frequent
447,customer_code_1400,1,45,non-frequent
448,customer_code_1401,1,44,non-frequent
449,customer_code_1402,1,46,non-frequent
450,customer_code_1403,1,44,non-frequent
451,customer_code_1404,1,43,non-frequent
452,customer_code_1405,1,41,non-frequent
453,customer_code_1406,1,46,non-frequent
454,customer_code_1407,1,41,non-frequent
455,customer_code_1408,1,45,non-frequent
456,customer_code_1409,1,42,non-frequent
457,customer_code_141,1,41,non-frequent
458,customer_code_1410,1,42,non-frequent
459,customer_code_1411,1,44,non-frequent
460,customer_code_1412,1,40,non-frequent
461,customer_code_1413,1,46,non-frequent
462,customer_code_1414,1,41,non-frequent
463,customer_code_1415,1,47,non-frequent
464,customer_code_1416,1,46,non-frequent
465,customer_code_1417,1,47,non-frequent
466,customer_code_1418,1,49,frequent
467,customer_code_1419,1,47,non-frequent
468,customer_code_142,1,38,non-frequent
469,customer_code_1420,1,46,non-frequent
470,customer_code_1421,1,45,non-frequent
471,customer_code_1422,1,40,non-frequent
472,customer_code_1423,1,48,non-frequent
473,customer_code_1424,1,44,non-frequent
474,customer_code_1425,1,42,non-frequent
475,customer_code_1426,1,48,non-frequent
476,customer_code_1427,1,46,non-frequent
477,customer_code_1428,1,47,non-frequent
478,customer_code_1429,1,45,non-frequent
479,customer_code_143,1,46,non-frequent
480,customer_code_1430,1,50,frequent
481,customer_code_1431,1,44,non-frequent
482,customer_code_1432,1,45,non-frequent
483,customer_code_1433,1,53,frequent
484,customer_code_1434,1,53,frequent
485,customer_code_1435,1,55,frequent
486,customer_code_1436,1,51,frequent
487,customer_code_1437,1,55,frequent
488,customer_code_1438,1,47,non-frequent
489,customer_code_1439,1,47,non-frequent
490,customer_code_144,1,46,non-frequent
491,customer_code_1440,1,46,non-frequent
492,customer_code_1441,1,48,non-frequent
493,customer_code_1442,1,44,non-frequent
494,customer_code_1443,1,44,non-frequent
495,customer_code_1444,1,45,non-frequent
496,customer_code_1445,1,43,non-frequent
497,customer_code_1446,1,44,non-frequent
498,customer_code_1447,1,48,non-frequent
499,customer_code_1448,1,51,frequent
500,customer_code_1449,1,47,non-frequent
501,customer_code_145,1,40,non-frequent
502,customer_code_1450,1,49,frequent
503,customer_code_1451,1,44,non-frequent
504,customer_code_1452,1,43,non-frequent
505,customer_code_1453,1,48,non-frequent
506,customer_code_1454,1,50,frequent
507,customer_code_1455,1,47,non-frequent
508,customer_code_1456,1,45,non-frequent
509,customer_code_1457,1,47,non-frequent
510,customer_code_1458,1,46,non-frequent
511,customer_code_1459,1,51,frequent
512,customer_code_146,1,50,frequent
513,customer_code_1460,1,53,frequent
514,customer_code_1461,1,54,frequent
515,customer_code_1462,1,53,frequent
516,customer_code_1463,1,41,non-frequent
517,customer_code_1464,1,39,non-frequent
518,customer_code_1465,1,46,non-frequent
519,customer_code_1466,1,50,frequent
520,customer_code_1467,1,47,non-frequent
521,customer_code_1468,1,45,non-frequent
522,customer_code_1469,1,42,non-frequent
523,customer_code_147,1,48,non-frequent
524,customer_code_1470,1,49,frequent
525,customer_code_1471,1,47,non-frequent
526,customer_code_1472,1,43,non-frequent
527,customer_code_1473,1,48,non-frequent
528,customer_code_1474,1,44,non-frequent
529,customer_code_1475,1,50,frequent
530,customer_code_1476,1,48,non-frequent
531,customer_code_1477,1,48,non-frequent
532,customer_code_1478,1,46,non-frequent
533,customer_code_1479,1,52,frequent
534,customer_code_148,1,48,non-frequent
535,customer_code_1480,1,51,frequent
536,customer_code_1481,1,49,frequent
537,customer_code_1482,1,49,frequent
538,customer_code_1483,1,46,non-frequent
539,customer_code_1484,1,46,non-frequent
540,customer_code_1485,1,45,non-frequent
541,customer_code_1486,1,48,non-frequent
542,customer_code_1487,1,45,non-frequent
543,customer_code_1488,1,54,frequent
544,customer_code_1489,1,55,frequent
545,customer_code_149,1,50,frequent
546,customer_code_1490,1,48,non-frequent
547,customer_code_1491,1,46,non-frequent
548,customer_code_1492,1,44,non-frequent
549,customer_code_1493,1,45,non-frequent
550,customer_code_1494,1,37,non-frequent
551,customer_code_1495,1,46,non-frequent
552,customer_code_1496,1,48,non-frequent
553,customer_code_1497,1,47,non-frequent
554,customer_code_1498,1,47,non-frequent
555,customer_code_1499,1,40,non-frequent
556,customer_code_15,1,48,non-frequent
557,customer_code_150,1,44,non-frequent
558,customer_code_1500,1,41,non-frequent
559,customer_code_1501,1,41,non-frequent
560,customer_code_1502,1,42,non-frequent
561,customer_code_1503,1,51,frequent
562,customer_code_1504,1,44,non-frequent
563,customer_code_1505,1,46,non-frequent
564,customer_code_1506,1,46,non-frequent
565,customer_code_1507,1,49,frequent
566,customer_code_1508,1,49,frequent
567,customer_code_1509,1,41,non-frequent
568,customer_code_151,1,45,non-frequent
569,customer_code_1510,1,45,non-frequent
570,customer_code_1511,1,45,non-frequent
571,customer_code_1512,1,45,non-frequent
572,customer_code_1513,1,50,frequent
573,customer_code_1514,1,53,frequent
574,customer_code_1515,1,54,frequent
575,customer_code_1516,1,50,frequent
576,customer_code_1517,1,49,frequent
577,customer_code_1518,1,51,frequent
578,customer_code_1519,1,45,non-frequent
579,customer_code_152,1,50,frequent
580,customer_code_1520,1,52,frequent
581,customer_code_1521,1,43,non-frequent
582,customer_code_1522,1,46,non-frequent
583,customer_code_1523,1,53,frequent
584,customer_code_1524,1,46,non-frequent
585,customer_code_1525,1,46,non-frequent
586,customer_code_1526,1,53,frequent
587,customer_code_1527,1,54,frequent
588,customer_code_1528,1,52,frequent
589,customer_code_1529,1,47,non-frequent
590,customer_code_153,1,46,non-frequent
591,customer_code_1530,1,46,non-frequent
592,customer_code_1531,1,51,frequent
593,customer_code_1532,1,45,non-frequent
594,customer_code_1533,1,58,frequent
595,customer_code_1534,1,52,frequent
596,customer_code_1535,1,44,non-frequent
597,customer_code_1536,1,42,non-frequent
598,customer_code_1537,1,45,non-frequent
599,customer_code_1538,1,43,non-frequent
600,customer_code_1539,1,37,non-frequent
601,customer_code_154,1,40,non-frequent
602,customer_code_1540,1,38,non-frequent
603,customer_code_1541,1,47,non-frequent
604,customer_code_1542,1,45,non-frequent
605,customer_code_1543,1,41,non-frequent
606,customer_code_1544,1,46,non-frequent
607,customer_code_1545,1,47,non-frequent
608,customer_code_1546,1,43,non-frequent
609,customer_code_1547,1,39,non-frequent
610,customer_code_1548,1,45,non-frequent
611,customer_code_1549,1,49,frequent
612,customer_code_155,1,44,non-frequent
613,customer_code_1550,1,44,non-frequent
614,customer_code_1551,1,40,non-frequent
615,customer_code_1552,1,45,non-frequent
616,customer_code_1553,1,41,non-frequent
617,customer_code_1554,1,45,non-frequent
618,customer_code_1555,1,43,non-frequent
619,customer_code_1556,1,43,non-frequent
620,customer_code_1557,1,42,non-frequent
621,customer_code_1558,1,45,non-frequent
622,customer_code_1559,1,43,non-frequent
623,customer_code_156,1,50,frequent
624,customer_code_1560,1,47,non-frequent
625,customer_code_1561,1,35,non-frequent
626,customer_code_1562,1,47,non-frequent
627,customer_code_1563,1,47,non-frequent
628,customer_code_1564,1,44,non-frequent
629,customer_code_1565,1,44,non-frequent
630,customer_code_1566,1,45,non-frequent
631,customer_code_1567,1,47,non-frequent
632,customer_code_1568,1,39,non-frequent
633,customer_code_1569,1,53,frequent
634,customer_code_157,1,48,non-frequent
635,customer_code_1570,1,40,non-frequent
636,customer_code_1571,1,45,non-frequent
637,customer_code_1572,1,46,non-frequent
638,customer_code_1573,1,43,non-frequent
639,customer_code_1574,1,43,non-frequent
640,customer_code_1575,1,42,non-frequent
641,customer_code_1576,1,46,non-frequent
642,customer_code_1577,1,43,non-frequent
643,customer_code_1578,1,48,non-frequent
644,customer_code_1579,1,38,non-frequent
645,customer_code_158,1,45,non-frequent
646,customer_code_1580,1,37,non-frequent
647,customer_code_1581,1,45,non-frequent
648,customer_code_1582,1,40,non-frequent
649,customer_code_1583,1,46,non-frequent
650,customer_code_1584,1,45,non-frequent
651,customer_code_1585,1,55,frequent
652,customer_code_1586,1,57,frequent
653,customer_code_1587,1,52,frequent
654,customer_code_1588,1,52,frequent
655,customer_code_1589,1,53,frequent
656,customer_code_159,1,46,non-frequent
657,customer_code_1590,1,43,non-frequent
658,customer_code_1591,1,45,non-frequent
659,customer_code_1592,1,48,non-frequent
660,customer_code_1593,1,50,frequent
661,customer_code_1594,1,43,non-frequent
662,customer_code_1595,1,45,non-frequent
663,customer_code_1596,1,48,non-frequent
664,customer_code_1597,1,43,non-frequent
665,customer_code_1598,1,40,non-frequent
666,customer_code_1599,1,41,non-frequent
667,customer_code_16,1,47,non-frequent
668,customer_code_160,1,47,non-frequent
669,customer_code_1600,1,47,non-frequent
670,customer_code_1601,1,45,non-frequent
671,customer_code_1602,1,49,frequent
672,customer_code_1603,1,42,non-frequent
673,customer_code_1604,1,47,non-frequent
674,customer_code_1605,1,35,non-frequent
675,customer_code_1606,1,47,non-frequent
676,customer_code_1607,1,47,non-frequent
677,customer_code_1608,1,50,frequent
678,customer_code_1609,1,46,non-frequent
679,customer_code_161,1,40,non-frequent
680,customer_code_1610,1,44,non-frequent
681,customer_code_1611,1,59,frequent
682,customer_code_1612,1,44,non-frequent
683,customer_code_1613,1,45,non-frequent
684,customer_code_1614,1,45,non-frequent
685,customer_code_1615,1,46,non-frequent
686,customer_code_1616,1,45,non-frequent
687,customer_code_1617,1,44,non-frequent
688,customer_code_1618,1,52,frequent
689,customer_code_1619,1,42,non-frequent
690,customer_code_162,1,49,frequent
691,customer_code_1620,1,51,frequent
692,customer_code_1621,1,50,frequent
693,customer_code_1622,1,42,non-frequent
694,customer_code_1623,1,47,non-frequent
695,customer_code_1624,1,44,non-frequent
696,customer_code_1625,1,44,non-frequent
697,customer_code_1626,1,40,non-frequent
698,customer_code_1627,1,48,non-frequent
699,customer_code_1628,1,51,frequent
700,customer_code_1629,1,47,non-frequent
701,customer_code_163,1,40,non-frequent
702,customer_code_1630,1,45,non-frequent
703,customer_code_1631,1,44,non-frequent
704,customer_code_1632,1,34,non-frequent
705,customer_code_1633,1,47,non-frequent
706,customer_code_1634,1,44,non-frequent
707,customer_code_1635,1,44,non-frequent
708,customer_code_1636,1,53,frequent
709,customer_code_1637,1,50,frequent
710,customer_code_1638,1,44,non-frequent
711,customer_code_1639,1,47,non-frequent
712,customer_code_164,1,40,non-frequent
713,customer_code_1640,1,45,non-frequent
714,customer_code_1641,1,45,non-frequent
715,customer_code_1642,1,45,non-frequent
